Unnamed: 0,Timestamp,Demand,Solar_Gen,Grid_Buy_Price,Grid_Sell_Price
0,2025-01-01 00:00:00,1232.19,0.0,5.0,3.0
1,2025-01-01 01:00:00,1131.66,0.0,5.0,3.0
2,2025-01-01 02:00:00,1257.58,0.0,5.0,3.0
3,2025-01-01 03:00:00,1209.21,0.0,5.0,3.0
4,2025-01-01 04:00:00,1028.25,0.0,5.0,3.0
5,2025-01-01 05:00:00,1292.69,0.0,5.0,3.0
6,2025-01-01 06:00:00,1880.57,0.0,5.0,3.0
7,2025-01-01 07:00:00,1725.19,903.24,5.0,3.0
8,2025-01-01 08:00:00,1821.93,1481.14,5.0,3.0
9,2025-01-01 09:00:00,1390.9,1828.71,5.0,3.0
10,2025-01-01 10:00:00,1631.05,2537.65,5.0,3.0
11,2025-01-01 11:00:00,1070.91,2186.55,5.0,3.0
12,2025-01-01 12:00:00,1155.68,2088.56,5.0,3.0
13,2025-01-01 13:00:00,1008.76,2119.42,5.0,3.0
14,2025-01-01 14:00:00,1148.95,2284.29,5.0,3.0
15,2025-01-01 15:00:00,1074.09,1681.94,5.0,3.0
16,2025-01-01 16:00:00,1351.97,1408.98,5.0,3.0
17,2025-01-01 17:00:00,1933.96,885.99,12.0,3.0
18,2025-01-01 18:00:00,1940.05,0.0,12.0,3.0
19,2025-01-01 19:00:00,1960.95,0.0,12.0,3.0
20,2025-01-01 20:00:00,1877.5,0.0,12.0,3.0
21,2025-01-01 21:00:00,1086.5,0.0,12.0,3.0
22,2025-01-01 22:00:00,1204.75,0.0,5.0,3.0
23,2025-01-01 23:00:00,1041.93,0.0,5.0,3.0
24,2025-01-02 00:00:00,1059.97,0.0,5.0,3.0
25,2025-01-02 01:00:00,1002.21,0.0,5.0,3.0
26,2025-01-02 02:00:00,1236.08,0.0,5.0,3.0
27,2025-01-02 03:00:00,1199.46,0.0,5.0,3.0
28,2025-01-02 04:00:00,1211.55,0.0,5.0,3.0
29,2025-01-02 05:00:00,1234.22,0.0,5.0,3.0
30,2025-01-02 06:00:00,1729.46,0.0,5.0,3.0
31,2025-01-02 07:00:00,1557.27,819.7,5.0,3.0
32,2025-01-02 08:00:00,1782.62,1544.9,5.0,3.0
33,2025-01-02 09:00:00,1521.43,1936.78,5.0,3.0
34,2025-01-02 10:00:00,1312.33,2247.78,5.0,3.0
35,2025-01-02 11:00:00,1081.71,2361.3,5.0,3.0
36,2025-01-02 12:00:00,1011.66,2056.5,5.0,3.0
37,2025-01-02 13:00:00,1132.38,2321.66,5.0,3.0
38,2025-01-02 14:00:00,1132.86,1800.88,5.0,3.0
39,2025-01-02 15:00:00,1033.39,1875.88,5.0,3.0
40,2025-01-02 16:00:00,1588.94,1387.09,5.0,3.0
41,2025-01-02 17:00:00,1900.21,777.48,12.0,3.0
42,2025-01-02 18:00:00,1889.23,0.0,12.0,3.0
43,2025-01-02 19:00:00,1926.06,0.0,12.0,3.0
44,2025-01-02 20:00:00,1872.36,0.0,12.0,3.0
45,2025-01-02 21:00:00,1026.29,0.0,12.0,3.0
46,2025-01-02 22:00:00,1035.4,0.0,5.0,3.0
47,2025-01-02 23:00:00,1288.57,0.0,5.0,3.0
48,2025-01-03 00:00:00,1272.57,0.0,5.0,3.0
49,2025-01-03 01:00:00,1209.91,0.0,5.0,3.0
50,2025-01-03 02:00:00,1079.76,0.0,5.0,3.0
51,2025-01-03 03:00:00,1290.75,0.0,5.0,3.0
52,2025-01-03 04:00:00,1233.63,0.0,5.0,3.0
53,2025-01-03 05:00:00,1215.07,0.0,5.0,3.0
54,2025-01-03 06:00:00,1724.68,0.0,5.0,3.0
55,2025-01-03 07:00:00,1951.3,770.44,5.0,3.0
56,2025-01-03 08:00:00,1652.98,1392.26,5.0,3.0
