Timestamp,Demand,TCL_Load,PriceResp_Load,Wind_Gen,Solar_Gen,Conv_Gen,Storage_SOC,Action_Dispatch,Action_TCL,Action_PriceResp,Reward,Grid_Buy_Price,Grid_Sell_Price
2025-01-01 00:00:00,306.95316732425573,50.92863693,24.62277168,90.35799291,0.0,210.4802025,0.526244712,210.4802025,45.94043682,16.91208061,-74.42681499,6.5,3.0
2025-01-01 00:15:00,319.09514331016777,55.12655994,21.48703838,68.55695678,0.0,234.2055785,0.518234271,234.2055785,47.33775025,11.77075912,-79.59257118,6.5,3.0
2025-01-01 00:30:00,300.9272946906352,47.52841063,17.51749118,90.46540114,0.0,200.9773794,0.508051501,200.9773794,42.21582521,13.0190824,-69.54544154,6.5,3.0
2025-01-01 00:45:00,305.21439467494133,59.92004738,25.67562801,99.16750689,0.0,200.6471406,0.509334663,200.6471406,57.67963384,13.57654341,-71.68852609,6.5,3.0
2025-01-01 01:00:00,289.09632060692564,58.51014475,18.16429718,85.20142888,0.0,209.4365112,0.506897323,209.4365112,55.40025982,15.04608289,-74.73398336,6.5,3.0
2025-01-01 01:15:00,296.3513573208656,54.63399663,25.65798196,86.28631942,0.0,207.1011887,0.510943184,207.1011887,53.01994954,25.22390934,-77.45755073,6.5,3.0
2025-01-01 01:30:00,279.4906229367974,53.67870118,23.25706126,89.121679,0.0,212.2192782,0.518755436,212.2192782,46.03203773,21.09486152,-76.58612514,6.5,3.0
2025-01-01 01:45:00,266.7216991354114,54.49067721,28.53122688,82.57500477,0.0,209.8439155,0.513936305,209.8439155,52.56395238,24.90207792,-78.51402118,6.5,3.0
2025-01-01 02:00:00,318.95821910248446,53.08434756,18.88175837,82.4501293,0.0,207.1009347,0.496176523,207.1009347,50.43247839,11.66499409,-71.91342265,6.5,3.0
2025-01-01 02:15:00,316.0707879649986,49.1143452,19.0533061,82.38322715,0.0,224.0168349,0.501223403,224.0168349,46.98581501,11.51960544,-76.65689158,6.5,3.0
2025-01-01 02:30:00,323.5384216800406,56.43189499,17.6196688,94.81463687,0.0,209.7766254,0.494929156,209.7766254,54.97952369,16.85198995,-74.90112466,6.5,3.0
2025-01-01 02:45:00,299.0125712524764,52.2060527,28.5465871,74.10970784,0.0,226.768608,0.497814835,226.768608,46.50304924,20.60530672,-80.80781074,6.5,3.0
2025-01-01 03:00:00,299.6305252983198,56.56454224,16.24596281,86.11950996,0.0,206.6428294,0.500359601,206.6428294,50.1906257,15.91049264,-73.0804864,6.5,3.0
2025-01-01 03:15:00,302.65692642621315,60.00883887,16.98093357,73.39317183,0.0,238.1494773,0.474937071,238.1494773,49.84671667,12.0522538,-81.40626146,6.5,3.0
2025-01-01 03:30:00,300.77266753416234,50.1711939,25.20338285,81.92068954,0.0,222.8019891,0.470110645,222.8019891,40.81310916,16.04654152,-77.85141758,6.5,3.0
2025-01-01 03:45:00,306.14988074130474,46.61427011,23.20049595,77.17132074,0.0,229.1050575,0.468639279,229.1050575,38.51983592,11.99429096,-77.05362017,6.5,3.0
2025-01-01 04:00:00,267.4965994511249,59.39829706,15.44024138,86.06750734,0.0,208.5095297,0.462345338,208.5095297,50.678477,8.031098509,-70.72336282,6.5,3.0
2025-01-01 04:15:00,265.0174379030668,56.18605724,29.81946363,76.51013976,0.0,232.2864036,0.475628674,232.2864036,54.9591841,24.47211451,-85.57648737,6.5,3.0
2025-01-01 04:30:00,255.56143137557012,54.99718276,26.86067945,78.28404516,0.0,217.2381377,0.463189243,217.2381377,52.96921477,16.88842319,-76.96018892,6.5,3.0
2025-01-01 04:45:00,240.17453127023816,46.89601961,27.07113904,75.27710482,0.0,219.6551771,0.456249549,219.6551771,37.77426143,24.11996028,-78.60344624,6.5,3.0
2025-01-01 05:00:00,327.04260940392163,48.23952619,27.64735601,81.56913422,0.0,211.707186,0.448147486,211.707186,40.30849268,20.30126864,-75.80100267,6.5,3.0
2025-01-01 05:15:00,314.45277952356275,55.71554827,16.04709376,89.55161591,0.0,203.8962774,0.437877012,203.8962774,55.6470068,10.06995022,-70.75793355,6.5,3.0
2025-01-01 05:30:00,322.93112759122573,46.71791355,16.75043122,82.53009875,0.0,226.1504968,0.434873969,226.1504968,38.04280283,11.00513311,-76.41957515,6.5,3.0
2025-01-01 05:45:00,328.26348348129,50.08645181,29.93577723,75.57865628,0.0,227.97434,0.423527597,227.97434,43.65321398,17.10319813,-79.95784176,6.5,3.0
2025-01-01 06:00:00,466.0834061203866,47.78595957,19.11305672,75.98436535,0.0,234.7425015,0.412831119,234.7425015,47.11525303,13.61661649,-81.12039979,6.5,3.0
2025-01-01 06:15:00,450.52605817006145,54.98354268,19.5309242,73.92475937,0.0,220.2389492,0.411029944,220.2389492,46.62989636,10.6314036,-75.37282314,6.5,3.0
2025-01-01 06:30:00,485.1951896925053,46.7893954,22.00857844,93.62779891,0.0,207.5235815,0.428069159,207.5235815,38.86163011,18.09442543,-73.62155486,6.5,3.0
2025-01-01 06:45:00,478.76534601704657,60.58121618,28.7502028,76.01435029,0.0,241.2304788,0.443270761,241.2304788,55.45890616,28.45894377,-89.76963842,6.5,3.0
2025-01-01 07:00:00,448.44195295838813,46.1913744,21.49705506,92.2293981,236.36493485529184,212.9418827,0.453803619,212.9418827,41.03226044,15.06952279,-74.13362566,6.5,3.0
2025-01-01 07:15:00,447.94842629064885,57.01208099,28.21716353,86.94891932,228.62618418918737,219.3745247,0.455523283,219.3745247,52.90645007,21.91935317,-79.66934517,6.5,3.0
2025-01-01 07:30:00,429.13718750327723,56.38591761,30.23111756,102.4816649,232.1469376572694,192.7543834,0.438659155,192.7543834,53.47894936,27.08405395,-74.15319254,6.5,3.0
